name,type,breed,color,sex,size,date_of_birth,impound_number,kennel_number,animal_id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,outcome_jurisdiction,outcome_zip_code,location,sex_clean,age_at_outcome,age_at_intake
NA,CAT,DOMESTIC SH,BLACK,Male,KITTN,NA,K17-026134,FREEZER,A363799,2017-11-01,2017-11-01,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,NA,NA,NA,Male,NA,NA
SUGAR,DOG,LABRADOR RETR,YELLOW,Neutered,LARGE,2008-09-24,K17-022441,DS75,A228255,2017-02-03,2017-02-04,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95404,"95404
(38.458384, -122.675588)",Male,8.36986301369863,8.36712328767123
*MILLIE,DOG,CHIHUAHUA SH,BLUE/TAN,Spayed,TOY,2009-03-29,K17-022804,DA05,A349551,2017-03-15,2017-05-06,52,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,SANTA ROSA,OUT OF COUNTY,94591,"94591
(38.107585, -122.209634)",Female,8.10958904109589,7.96712328767123
ZEUS,DOG,ROTTWEILER,BLACK/TAN,Male,X-LRG,2013-10-17,K15-016429,DS68,A328615,2015-10-17,2015-10-17,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95409,"95409
(38.458965, -122.630156)",Male,2,2
DIXIE,DOG,AUST CATTLE DOG/MIX,BLUE MERLE/TAN,Spayed,MED,2012-05-08,K14-008769,DA44,A306350,2014-05-08,2014-05-24,16,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407
(38.403734, -122.736775)",Female,2.04383561643836,2
BEAUTY,DOG,CAIRN TERRIER,WHITE,Female,SMALL,2010-04-27,K16-018406,TX,A328651,2016-04-09,2016-05-13,34,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Male,6.04931506849315,5.95616438356164
IAN,DOG,CAVALIER SPAN/MIX,WHITE/RED,Neutered,SMALL,2009-08-27,K14-010330,RECEIVING,A310283,2014-08-18,2015-03-18,212,CONFISCATE,FLD_EVICT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95401,"95401
(38.446019, -122.766748)",Male,5.55890410958904,4.97808219178082
NA,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,2011-06-22,K17-024052,TRUCK,A354201,2017-06-22,2017-06-22,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,NA,NA,NA,Female,6.00547945205479,6.00547945205479
BEAR,DOG,NORFOLK TERRIER/MIX,BLACK/TAN,Neutered,SMALL,NA,K14-008607,DS58,A305972,2014-04-26,2014-04-26,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,RETURN TO OWNER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Male,NA,NA
NA,DOG,LABRADOR RETR/PIT BULL,YELLOW,Male,MED,2015-09-15,K17-025337,DS75,A360950,2017-09-15,2017-09-23,8,STRAY,FIELD,TRANSFER,PETALUMAAS,UNKNOWN,HEALTHY,SANTA ROSA,*PETALUMA,94952,"94952
(38.236012, -122.730241)",Male,2.02465753424658,2.0027397260274
*JOHNNY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,2015-07-06,K16-019600,CS05,A339293,2016-07-06,2016-07-23,17,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448
(38.618857, -122.861927)",Male,1.04931506849315,1.0027397260274
SHASTA,DOG,BORDER COLLIE/MIX,BLACK/WHITE,Spayed,LARGE,2005-01-01,K14-012183,TRUCK,A024906,2014-12-22,2014-12-22,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403
(38.486997, -122.749134)",Female,9.97808219178082,9.97808219178082
NA,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,NA,K16-018471,CS06,A335550,2016-04-14,2016-04-21,7,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,COUNTY,94952,"94952
(38.236012, -122.730241)",Female,NA,NA
*MISSY,CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,2013-10-27,K15-016567,CS04,A329256,2015-10-27,2015-11-17,21,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401
(38.446019, -122.766748)",Female,2.05753424657534,2
*BARB,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,2015-07-15,K15-016152,WESTFARM,A327749,2015-09-26,2015-10-06,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Female,0.227397260273973,0.2
CAL,DOG,GERM SHEPHERD,WHITE,Neutered,LARGE,2013-09-01,K17-022940,DA15,A306882,2017-03-28,2017-04-28,31,ADOPTION RETURN,OVER THE COUNTER,TRANSFER,GREEN DOG,TREATABLE/MANAGEABLE,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492
(38.541541, -122.809202)",Male,3.65753424657534,3.57260273972603
CILO,DOG,PIT BULL,BLUE,Neutered,MED,NA,K16-018305,TRUCK,A335127,2016-04-02,2016-04-02,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492
(38.541541, -122.809202)",Male,NA,NA
CATULIN,DOG,GERM SHEPHERD,BLACK,Male,LARGE,NA,K14-011414,TRUCK,A313012,2014-10-23,2014-10-23,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,NA,NA,NA,Male,NA,NA
*BOSCO,DOG,BOSTON TERRIER,BROWN/WHITE,Neutered,SMALL,2011-03-11,K14-007936,DA16,A303568,2014-03-04,2014-03-12,8,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,95616,"95616
(38.555454, -121.7738)",Male,3.00547945205479,2.98356164383562
*ZOE,DOG,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,2013-12-26,K15-017246,DA37,A331379,2015-12-26,2016-01-08,13,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404
(38.458384, -122.675588)",Female,2.03561643835616,2
NA,CAT,DOMESTIC SH,BRN TABBY,Female,KITTN,NA,K14-010670,TX,A311337,2014-09-08,2014-09-11,3,TRANSFER,VET_HOSP,DIED,IN FOSTER,UNTREATABLE,UNTREATABLE,COUNTY,NA,NA,NA,Male,NA,NA
ROXY,DOG,CHIHUAHUA LH,RED,Spayed,TOY,2012-09-16,K14-010816,DA12,A311652,2014-09-16,2014-09-30,14,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,*CLOVERDALE,95425,"95425
(38.790859, -123.010876)",Female,2.03835616438356,2
JACK,DOG,LABRADOR RETR/MIX,BLACK,Neutered,MED,2008-10-06,K16-021047,DS76,A343230,2016-10-05,2016-10-06,1,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94901,"94901
(37.973771, -122.51209)",Male,8.00547945205479,8.0027397260274
*SAMMY,CAT,DOMESTIC LH,GRAY TABBY/WHITE,Neutered,KITTN,2015-04-07,K15-013832,LOBBY,A321402,2015-05-07,2015-06-09,33,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95401,"95401
(38.446019, -122.766748)",Male,0.172602739726027,0.0821917808219178
POPEYE,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,NA,K14-009467,CA03,A308298,2014-06-24,2014-06-25,1,CONFISCATE,OVER THE COUNTER_CORONR,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94061,"94061
(37.462383, -122.234589)",Male,NA,NA
LEROY,DOG,PIT BULL/CATAHOULA,BR BRINDLE,Male,LARGE,2016-12-23,K17-024965,DS83,A357542,2017-08-22,2017-08-24,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,HEALTHY,COUNTY,OUT OF COUNTY,95945,"95945
(39.204393, -120.981879)",Male,0.668493150684932,0.663013698630137
GARDENIA,CAT,DOMESTIC SH,TORTIE,Female,SMALL,2007-09-11,K15-015904,CA02,A326881,2015-09-10,2015-09-11,1,STRAY,COMM CAT,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94954,"94954
(38.245316, -122.59871)",Male,8.00547945205479,8.0027397260274
BRUSKI,DOG,BEAGLE/MIX,TAN,Male,MED,NA,K15-016032,DS96,A327114,2015-09-18,2015-09-23,5,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95476,"95476
(38.280393, -122.464588)",Male,NA,NA
